,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
0,Old Birdcage Walk,D28,Old Birdcage Walk,2800,720,3.89,https://www.99.co/singapore/commercial/rent/property/old-birdcage-walk-office-BsmNsBgcq2bJnqjgd2fMJB#enquiry_source--Search,103.87024,1.40991
1,Woods Square,D25,Woodlands Square,3088,560,5.51,https://www.99.co/singapore/commercial/rent/property/woods-square-office-jq32wLXEH2A2LEijgcZFhW#enquiry_source--Search,103.78569,1.43601
6,Mountbatten Square,D14,Mountbatten Rd,6538,1453,4.5,https://www.99.co/singapore/commercial/rent/property/mountbatten-square-office-oYFqLpbKt6mDRZbMMHAHLL#enquiry_source--Search,103.88345,1.30468
7,Vision Exchange,D22,Venture Dr,7769,1689,4.6,https://www.99.co/singapore/commercial/rent/property/vision-exchange-office-JGCiuRjyMnZ5DWNugztChC#enquiry_source--Search,103.74461,1.32989
8,Plus,D1,Cecil St,8646,786,11.0,https://www.99.co/singapore/commercial/rent/property/plus-office-YYSJ7KAagHFYbJSvFeKWsN#enquiry_source--Search,103.84836,1.27945
9,ABI Plaza,D2,Keppel Rd,11885,1251,9.5,https://www.99.co/singapore/commercial/rent/property/abi-plaza-office-S9nVX8id5vkiSiP7QRe2zy#enquiry_source--Search,103.84262,1.27186
12,Republic Plaza,D1,Raffles Pl,165000,15000,11.0,https://www.99.co/singapore/commercial/rent/property/republic-plaza-office-ecjg23YWYjadG873Umus52#enquiry_source--Search,103.8508,1.2849
32,Midview City,D20,Sin Ming Lane,1350,230,5.87,https://www.99.co/singapore/commercial/rent/property/midview-city-office-hqnCq7FmbxBVVZCftqPb6H#enquiry_source--Search,103.83386,1.35759
34,Orchard Towers,D9,Orchard Rd,1600,355,4.51,https://www.99.co/singapore/commercial/rent/property/orchard-towers-office-LkBj4voLo4pvKxZmKx7GoW#enquiry_source--Search,103.83214,1.30374
35,Eunos Techpark,D14,Kaki Bt Pl,7000,2000,3.5,https://www.99.co/singapore/commercial/rent/property/eunos-techpark-office-cWVXKdBQEpVMAHt4ystHhF#enquiry_source--Search,103.90222,1.33185
36,Spazio @ Kovan,D19,Upp Serangoon Rd,2500,409,6.11,https://www.99.co/singapore/commercial/rent/property/spazio-kovan-office-anC2V5Zb5VSkPANrVSuRs#enquiry_source--Search,103.85217,1.30548
37,GR.ID,D7,Selegie Rd,128000,15000,8.53,https://www.99.co/singapore/commercial/rent/property/grid-office-YXSAZsAcKuCyFy4iUU6Rdm#enquiry_source--Search,103.84925,1.30054
38,Suntec City Towers,D1,Temasek Boulevard,31050,2960,10.49,https://www.99.co/singapore/commercial/rent/property/suntec-city-towers-office-oRDUpq6GJgYHpqM9sJZxZp#enquiry_source--Search,103.85854,1.29345
