,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link
0,OCBC Centre,D1,Chulia St,60000,6000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-XLTnv8rWQYnpNef8rVd3xt#enquiry_source--Search
1,OCBC Centre,D1,Chulia St,50000,5000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-EftxRHydgU4vSHKLyUvLLU#enquiry_source--Search
2,OCBC Centre,D1,Chulia St,45000,4500,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-SwxBwsxDtTg542X7uLTGnz#enquiry_source--Search
3,OCBC Centre,D1,Chulia St,40000,4000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-FwDBF4uzwKbEGib7Qwg9LN#enquiry_source--Search
4,OCBC Centre,D1,Chulia St,35000,3500,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-C3yoxd3ravHbi6x6NdX7N9#enquiry_source--Search
5,OCBC Centre,D1,Chulia St,30000,3000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-LFgoqCH4ab5Af3tzomfNAg#enquiry_source--Search
6,OCBC Centre,D1,Chulia St,25000,2500,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-W6FDEre6w5ESuctGjHDbVU#enquiry_source--Search
7,OCBC Centre,D1,Chulia St,20000,2000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-MowWNkF7qLTEq6MsaGJ4LF#enquiry_source--Search
8,OCBC Centre,D1,Chulia St,15000,1500,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-32jbuRqayr4qUiuTWCY9WP#enquiry_source--Search
9,OCBC Centre,D1,Chulia St,10000,1000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-FWX5nfVcY4PEd4VWtNEW9m#enquiry_source--Search
10,Parkway Parade,D15,Marine Parade Rd,6200,956,6.49,https://www.99.co/singapore/commercial/rent/property/parkway-parade-office-4KwgbFGmNxeqBS3Q7TKFrU#enquiry_source--Search
11,Asia Square Towers,D1,Marina View,182000,14000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-d6uhGz5cStBmsJf9Vaxsyp#enquiry_source--Search
12,Asia Square Towers,D1,Marina View,169000,13000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-faPoSPyhY6tNa45eTtRSsQ#enquiry_source--Search
13,Asia Square Towers,D1,Marina View,156000,12000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-Yv3FxT2kUL2jxhnbhbGwJ4#enquiry_source--Search
14,Asia Square Towers,D1,Marina View,143000,11000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-gFU7WRr8VeU9opTnpafXsM#enquiry_source--Search
15,Asia Square Towers,D1,Marina View,130000,10000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-GBJqJejogUc2JFcAXKuQjt#enquiry_source--Search
16,Asia Square Towers,D1,Marina View,117000,9000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-VViFHnTZKMsWcAymoSRoYj#enquiry_source--Search
17,Asia Square Towers,D1,Marina View,104000,8000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-VfAuDfmJDUoHir4a8HLktQ#enquiry_source--Search
18,Asia Square Towers,D1,Marina View,91000,7000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-4oiK54P6nmydQheQKpqnjK#enquiry_source--Search
19,Asia Square Towers,D1,Marina View,78000,6000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-NdJ6yPVjsCd8cSkgCFJgNC#enquiry_source--Search
20,Asia Square Towers,D1,Marina View,65000,5000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-Jpqr4G3wvPykkDxmeSMhDQ#enquiry_source--Search
21,Asia Square Towers,D1,Marina View,58500,4500,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-M4BrHMG3GF6CDwr4KcpAaa#enquiry_source--Search
22,Asia Square Towers,D1,Marina View,52000,4000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-Tp7o3YrTr6XYyXKSDdJcjp#enquiry_source--Search
23,Asia Square Towers,D1,Marina View,45500,3500,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-3hfxrQDAoKHJAjbzqMFMC3#enquiry_source--Search
24,Asia Square Towers,D1,Marina View,39000,3000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-GdDwe6P7378YvjacS8o3ZQ#enquiry_source--Search
25,Asia Square Towers,D1,Marina View,32500,2500,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-hqx9RLgCf6KnxVNGZ9shcn#enquiry_source--Search
26,Asia Square Towers,D1,Marina View,26000,2000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-nLBrJeB8vpkHKxPSg3kP7s#enquiry_source--Search
27,Asia Square Towers,D1,Marina View,19500,1500,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-2qNVEgSjXSx2FHsp7SrEAV#enquiry_source--Search
28,Camden Centre / Camden Medical Centre,D10,Orchard Boulevard,10010,770,13.0,https://www.99.co/singapore/commercial/rent/property/camden-centre-camden-medical-centre-office-V9P3feEkGBRB7bVzr5SKVR#enquiry_source--Search
29,Marina Bay Financial Centre,D1,Marina Boulevard,312000,24000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-3968pYhYCqHSekVNjzYpTZ#enquiry_source--Search
30,Marina Bay Financial Centre,D1,Marina Boulevard,299000,23000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-9ctmQvxnEDCnkSbbHjXGHu#enquiry_source--Search
31,Marina Bay Financial Centre,D1,Marina Boulevard,286000,22000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-MR4g6FS2teJakAdTphmB2s#enquiry_source--Search
32,Marina Bay Financial Centre,D1,Marina Boulevard,273000,21000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-DfvriNAbodRpTJtkQRQKqt#enquiry_source--Search
33,Marina Bay Financial Centre,D1,Marina Boulevard,260000,20000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-VveSF2P7xiw9ZhrSgjvHQd#enquiry_source--Search
34,Marina Bay Financial Centre,D1,Marina Boulevard,247000,19000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-n3L7HEoo5Dok4w7jZRjAcT#enquiry_source--Search
35,Marina Bay Financial Centre,D1,Marina Boulevard,234000,18000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-PBjkV2xx9HbissoKKicooL#enquiry_source--Search
36,Marina Bay Financial Centre,D1,Marina Boulevard,221000,17000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-asbk4Fz8456Fi2Q4hziaHt#enquiry_source--Search
37,Marina Bay Financial Centre,D1,Marina Boulevard,208000,16000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-RFxjSiQ7by83FcjyviRyPh#enquiry_source--Search
39,Marina Bay Financial Centre,D1,Marina Boulevard,182000,14000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-6nRhikAu9G9agf3u4rYv5j#enquiry_source--Search
40,Marina Bay Financial Centre,D1,Marina Boulevard,169000,13000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-DmvVcrc7XFwCB63hzLi8Cx#enquiry_source--Search
41,Marina Bay Financial Centre,D1,Marina Boulevard,156000,12000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-ZJTkWZPa2mgS7dQdMpwTfs#enquiry_source--Search
42,Marina Bay Financial Centre,D1,Marina Boulevard,143000,11000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-6YkQVhi2CFiJcizvSxkRYt#enquiry_source--Search
43,Marina Bay Financial Centre,D1,Marina Boulevard,130000,10000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-8aP6NSdvHZFAZdGyCwxwdn#enquiry_source--Search
44,Marina Bay Financial Centre,D1,Marina Boulevard,117000,9000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-94rYDdwmsEdD6fXdCJJ3g3#enquiry_source--Search
45,Marina Bay Financial Centre,D1,Marina Boulevard,104000,8000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-NAyHytbrSvpdwZfXD2EWrH#enquiry_source--Search
46,Marina Bay Financial Centre,D1,Marina Boulevard,91000,7000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-Qb2fjrJbyPLTFLLjxwHBcT#enquiry_source--Search
47,Marina Bay Financial Centre,D1,Marina Boulevard,78000,6000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-XDpJmbJx9Ai7yXVjvvRXb6#enquiry_source--Search
