,Unnamed: 0,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
0,60,Sunshine Plaza,D7,Bencoolen St,4000,517,7.74,https://www.99.co/singapore/commercial/rent/property/sunshine-plaza-office-ekuu5zwtvCfduvgfx2LVAR#enquiry_source--Search,103.84965,1.29823
1,64,GR.ID,D7,Selegie Rd,128000,15000,8.53,https://www.99.co/singapore/commercial/rent/property/grid-office-YXSAZsAcKuCyFy4iUU6Rdm#enquiry_source--Search,103.84925,1.30054
2,77,Jun Xin Building,D7,Nth Bridge Rd,15870,3170,5.01,https://www.99.co/singapore/commercial/rent/property/jun-xin-building-office-8zwmEwKdChbS932aky6CiF#enquiry_source--Search,103.96126,1.34068
3,86,North Bridge Centre,D7,Nth Bridge Rd,1746,291,6.0,https://www.99.co/singapore/commercial/rent/property/north-bridge-centre-office-RKzGaaBMegAHFGHdbm8pKp#enquiry_source--Search,103.84896,1.29042
4,87,Icb Enterprise House,D7,Middle Rd,1200,250,4.8,https://www.99.co/singapore/commercial/rent/property/icb-enterprise-house-office-XsYv3BykFXW6sNNGJ2HYSP#enquiry_source--Search,103.70291,1.3339
5,93,Fortune Centre,D7,Middle Rd,8000,1668,4.8,https://www.99.co/singapore/commercial/rent/property/fortune-centre-office-8yGWZjX8npaVfKPFSo9gmE#enquiry_source--Search,103.85559,1.29701
6,94,The Plaza,D7,Beach Rd,5600,1249,4.48,https://www.99.co/singapore/commercial/rent/property/the-plaza-office-3eKDEfUvSYpfWdnHh3vKmE#enquiry_source--Search,103.86454,1.30348
7,118,Bylands Building,D7,Middle Rd,5900,1323,4.46,https://www.99.co/singapore/commercial/rent/property/bylands-building-office-3nTAKqpPHctLJhy6mgS47#enquiry_source--Search,103.85194,1.29954
8,142,Bugis Junction Towers,D7,Victoria St,94278,9924,9.5,https://www.99.co/singapore/commercial/rent/property/bugis-junction-towers-office-TvAH82kLeAjyyVtoaE8Lws#enquiry_source--Search,103.85122,1.29462
11,222,Chye Sing Building,D7,Beach Rd,7500,1700,4.41,https://www.99.co/singapore/commercial/rent/property/chye-sing-building-office-fvzWkGkF54xeCvSqTzU45S#enquiry_source--Search,103.86454,1.30348
12,227,Ibis Singapore Bencoolen,D7,Bencoolen St,6490,1475,4.4,https://www.99.co/singapore/commercial/rent/property/ibis-singapore-bencoolen-office-Mzp5sC53pbtpXvYiTkdr5E#enquiry_source--Search,103.84965,1.29823
14,234,Gateway West,D7,Beach Rd,5557,741,7.5,https://www.99.co/singapore/commercial/rent/property/gateway-west-office-MuWTDvZjF6GznRMo7ybQPJ#enquiry_source--Search,103.86454,1.30348
